county,countyLabel,swampCount
http://www.wikidata.org/entity/Q504403,Bladen County,136
http://www.wikidata.org/entity/Q504329,Brunswick County,51
http://www.wikidata.org/entity/Q509813,Columbus County,88
http://www.wikidata.org/entity/Q507733,Robeson County,56
